Marks
148
264
24
109
105
112
202
159
62
35
37
31
53
35
123
34
32
27
36
46
65
29
98
99
46
41
30
32
73
504
96
46
58
89
89
35
42
106
92
338
91
33
224
24
29
23
22
49
125
357
27
85
91
29
141
59
35
86
94
1274
30
43
25
27
37
86
183
58
31
140
36
53
113
183
48
61
186
133
91
67
39
22
23
40
27
212
50
205
30
258
177
54
1613
91
42
21
53
33
41
34
33
189
45
298
31
28
30
65
149
332
38
46
86
28
81
103
370
188
1033
529
437
48
68
353
441
54
58
100
441
41
196
55
41
101
71
301
56
32
68
40
22
68
155
36
296
264
64
81
29
175
50
93
22
45
42
35
50
63
717
22
156
26
373
38
24
54
34
174
132
22
106
97
22
60
86
103
24
56
27
22
30
61
1937
25
75
55
36
34
32
62
143
208
22
41
84
33
221
185
57
70
31
23
123
55
21
104
358
23
24
327
24
115
49
