state,city,center_num,center_avg,city_avg,Marks
ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110101,192.1127982646421,192.73756097560977,192.73756097560977
ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110102,192.5943600867679,192.73756097560977,192.73756097560977
ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,110103,196.1747572815534,192.73756097560977,192.73756097560977
ANDHRA PRADESH,ANANTAPUR,121201,193.76931567328919,197.06098546042003,260.9710240265639
ANDHRA PRADESH,ANANTAPUR,121202,207.42567567567568,197.06098546042003,260.9710240265639
ANDHRA PRADESH,ANANTAPUR,121203,195.97053726169844,197.06098546042003,260.9710240265639
ANDHRA PRADESH,ANANTAPUR,121204,190.76558603491273,197.06098546042003,260.9710240265639
ANDHRA PRADESH,BHIMAVARAM,121301,199.756727664155,199.756727664155,260.9710240265639
ANDHRA PRADESH,CHIRALA,121401,202.29783037475346,202.29783037475346,260.9710240265639
ANDHRA PRADESH,CHITTOOR,121501,182.14814814814815,174.48704663212436,260.9710240265639
ANDHRA PRADESH,CHITTOOR,121502,171.75272727272727,174.48704663212436,260.9710240265639
ANDHRA PRADESH,CHITTOOR,121503,168.68722466960352,174.48704663212436,260.9710240265639
ANDHRA PRADESH,ELURU,121601,173.82688391038695,170.9151515151515,260.9710240265639
ANDHRA PRADESH,ELURU,121602,171.26078028747432,170.9151515151515,260.9710240265639
ANDHRA PRADESH,ELURU,121603,166.24269005847952,170.9151515151515,260.9710240265639
ANDHRA PRADESH,GOOTY,121701,168.88275862068966,168.88275862068966,260.9710240265639
ANDHRA PRADESH,GUDUR,121801,176.1988950276243,176.1988950276243,260.9710240265639
ANDHRA PRADESH,GUNTUR,120101,275.1255349500713,268.11772184083395,260.9710240265639
ANDHRA PRADESH,GUNTUR,120102,275.25085324232083,268.11772184083395,260.9710240265639
ANDHRA PRADESH,GUNTUR,120103,279.3815261044177,268.11772184083395,260.9710240265639
ANDHRA PRADESH,GUNTUR,120104,250.72040816326532,268.11772184083395,260.9710240265639
ANDHRA PRADESH,GUNTUR,120105,286.5291576673866,268.11772184083395,260.9710240265639
ANDHRA PRADESH,GUNTUR,120106,253.73617021276596,268.11772184083395,260.9710240265639
ANDHRA PRADESH,GUNTUR,120107,270.5579196217494,268.11772184083395,260.9710240265639
ANDHRA PRADESH,GUNTUR,120108,238.40066225165563,268.11772184083395,260.9710240265639
ANDHRA PRADESH,KADAPA,121901,193.40513552068472,204.09053285049146,260.9710240265639
ANDHRA PRADESH,KADAPA,121902,212.5955223880597,204.09053285049146,260.9710240265639
ANDHRA PRADESH,KADAPA,121903,207.27935943060498,204.09053285049146,260.9710240265639
ANDHRA PRADESH,KAKINADA,122001,220.8721590909091,217.22615894039734,260.9710240265639
ANDHRA PRADESH,KAKINADA,122002,213.63934426229508,217.22615894039734,260.9710240265639
ANDHRA PRADESH,KAKINADA,122003,214.74358974358975,217.22615894039734,260.9710240265639
ANDHRA PRADESH,KAKINADA,122004,216.28338762214983,217.22615894039734,260.9710240265639
ANDHRA PRADESH,KAKINADA,122005,227.92932862190813,217.22615894039734,260.9710240265639
ANDHRA PRADESH,KAKINADA,122006,212.1418439716312,217.22615894039734,260.9710240265639
ANDHRA PRADESH,KAKINADA,122007,207.2094861660079,217.22615894039734,260.9710240265639
ANDHRA PRADESH,KURNOOL,120201,226.55094339622642,222.99958660603556,260.9710240265639
ANDHRA PRADESH,KURNOOL,120202,227.40831758034025,222.99958660603556,260.9710240265639
ANDHRA PRADESH,KURNOOL,120203,225.81638418079095,222.99958660603556,260.9710240265639
ANDHRA PRADESH,KURNOOL,120204,217.72079772079772,222.99958660603556,260.9710240265639
ANDHRA PRADESH,KURNOOL,120205,223.919795221843,222.99958660603556,260.9710240265639
ANDHRA PRADESH,KURNOOL,120206,230.83684210526314,222.99958660603556,260.9710240265639
ANDHRA PRADESH,KURNOOL,120207,193.24709302325581,222.99958660603556,260.9710240265639
ANDHRA PRADESH,MACHILIPATNAM,120901,196.6431924882629,196.6431924882629,260.9710240265639
ANDHRA PRADESH,MANGALAGIRI,121001,221.03642384105962,221.03642384105962,260.9710240265639
ANDHRA PRADESH,NANDYAL,122101,206.91587301587302,196.61368821292777,260.9710240265639
ANDHRA PRADESH,NANDYAL,122102,187.13868613138686,196.61368821292777,260.9710240265639
ANDHRA PRADESH,NARASARAOPET,120801,187.98832684824902,186.49382716049382,260.9710240265639
ANDHRA PRADESH,NARASARAOPET,120802,183.89864864864865,186.49382716049382,260.9710240265639
ANDHRA PRADESH,NELLORE,120301,274.2684563758389,277.6626213592233,260.9710240265639
ANDHRA PRADESH,NELLORE,120302,272.51638418079096,277.6626213592233,260.9710240265639
ANDHRA PRADESH,NELLORE,120303,286.2961487383798,277.6626213592233,260.9710240265639
ANDHRA PRADESH,NELLORE,120304,274.3755458515284,277.6626213592233,260.9710240265639
ANDHRA PRADESH,NELLORE,120305,281.10280373831773,277.6626213592233,260.9710240265639
ANDHRA PRADESH,ONGOLE,122201,227.7111274871039,225.4984404242046,260.9710240265639
